AppxName
Clipchamp.Clipchamp
Microsoft.549981C3F5F10
Microsoft.Copilot
Microsoft.GamingApp
Microsoft.GetHelp
Microsoft.Getstarted
Microsoft.MicrosoftOfficeHub
Microsoft.MicrosoftSolitaireCollection
Microsoft.MicrosoftStickyNotes
Microsoft.MSPaint
Microsoft.OutlookForWindows
Microsoft.People
Microsoft.StorePurchaseApp
microsoft.windowscommunicationsapps
Microsoft.WindowsFeedbackHub
Microsoft.Xbox.TCUI
Microsoft.XboxGameOverlay
Microsoft.XboxGamingOverlay
Microsoft.XboxIdentityProvider
Microsoft.XboxSpeechToTextOverlay
Microsoft.YourPhone
Microsoft.ZuneVideo
